번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
26700,블루2호,0.20088,경기,경기도 연천군 신서면,38.18297,127.10703999999998,철원,True
13454,제일종축태양광,2.221,경기,경기 이천시 부발읍,37.28366,127.48688500000002,이천,True
19801,디와이뱅크9호태양광,0.7488,경기,경기 안성시 원곡면,37.03972,127.129616,천안,True
929,605수송대대태양광,1.518,경기,경기 포천시 이동면,38.03067,127.36758,철원,True
1880,에스에이치에너지태양광,1.45,경기,경기 광주시 곤지암읍,37.350956,127.352425,이천,True
30119,김포공급센터태양광,0.09996,경기,경기 김포시 통진읍,37.691772,126.59729,강화,True
2591,팜스코태양광,2.99,경기,경기 이천시 부발읍,37.28366,127.48688500000002,이천,True
35137,시흥정수장태양광발전기,0.099,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
38771,그린오산태양광,1.922,경기,경기 오산시 부산동,37.154503,127.09036,영덕,True
48662,신흥태양광발전소,1.47096,경기,경기 안성시 일죽면,37.090466,127.476875,이천,True
4708,케이씨씨 여주태양광 제4발전소,1.1103299999999998,경기,경기 여주시 가남읍,37.2018,127.54516,이천,True
18007,부지외태양광#2,0.131705,경기,경기 동두천시 광암동,37.905617,127.10015,동두천,True
18006,부지외태양광#1,0.139125,경기,경기 동두천시 광암동,37.905617,127.10015,동두천,True
56211,에스엘태양광,1.90242,경기,경기 안성시 삼죽면,37.07301,127.37485,이천,True
17971,트윈시스템태양광,0.52,경기,경기 시흥시 정왕동,37.34727,126.72213,인천,True
56168,신흥태양광발전기,0.99648,경기,경기 여주시 산북면,37.40169,127.44299,이천,True
35128,시화방아머리태양광,1.0404,경기,경기도 안산시 단원구,37.321148,126.81532,장수,False
55930,게이트원햇빛발전소,0.4930199999999999,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
29875,안산초지태양광,0.16,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
48598,(유)노령 태양광발전소,0.99792,경기,경기 여주시 점동면,37.206066,127.662544,이천,False
29872,안산와동태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
46898,운지솔라 북삼1호 태양광발전소,2.09088,경기,경기 연천군 왕징면,38.05857,127.01281000000002,동두천,True
29865,안산연성정수장태양광,1.49,경기,경기 시흥시 광석동,37.381058,126.815956,장수,True
29874,안산성곡태양광,0.17,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
29873,안산목내태양광,0.18,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
13405,농심율촌태양광,0.84,경기,경기 평택시 포승읍,36.98282,126.885315,천안,True
13404,농심포승태양광,1.27,경기,경기 평택시 포승읍,36.98282,126.885315,천안,True
49983,의정부하수처리장태양광,0.327,경기,경기 의정부시 장곡로,37.73312,127.05464,고산,True
56270,yk에너지1호,1.33385,경기,경기 시흥시 정황동,37.34399129,126.7472959,장수,True
2134,의정부행복태양광,2.241,경기,경기 의정부시 장곡로,37.73312,127.05464,고산,True
7929,멱곡1호태양광,0.7904,경기,경기 여주시 멱곡동,37.253258,127.66868999999998,이천,True
21712,모든태양광,0.3942,경기,경기 안성시 미양면,36.97813,127.2171,천안,False
67825,강북아리수정수장태양광,2.8,경기,경기 남양주시 삼패동,37.596447,127.19948,고산,True
1690,멱우수상회전식태양광,2.9952,경기,경기 화성시 우정읍,37.08982,126.81535,수원,True
29871,안산공단태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
