번호,발전기명,설비용량(MW),광역지역,세부지역
35133,양산정수장태양광,0.099,경남,경남 양산시 상북면
5347,갈화태양광,0.481275,경남,경남 남해군 고현면
4659,에스비솔라태양광,1.45122,경남,경남 창원시 진해구
65873,명관수상태양광,1.21176,경남,경남 함안군 군북면
56392,첼시4호태양광발전소,1.998,경남,경남 의령군 대의면
2435,초곡태양광발전기,1.49226,경남,경남 의령군 유곡면
24546,백운함양태양광,1.5,경남,경남 함양군 백전면
59902,천사태양광,0.099,경남,경남 사천시 서포면
48603,대룡1호태양광,0.9984,경남,경남 하동군 북천면
12501,하동공설운동장태양광,0.37,경남,경남 함안군 법수면
56218,평산태양광,2.57652,경남,경남 남해군 남면
9631,그린태양광3호,0.1,경남,경남 하동군 고전면
18504,동양3공장태양광,0.323,경남,경남 창원시 성산구
27154,빛사랑태양광,0.498225,경남,경남 하동군 북천면
17965,코아텍시스템즈태양광,0.67,경남,경남 창원시 성산구
841,위천2호햇빛발전소,0.49446,경남,경남 거창군 위천면
12492,하동화력태양광,1,경남,경남 하동군 금성면
1924,엔에스쏠라제2태양광,2.45,경남,경남 창녕군 대합면
2617,피비태선오계1태양광,0.997,경남,경남 거창군 남상면
63921,판곡태양광,0.2948,경남,경남 고성군 삼산면
39235,아폴로솔라5호태양광발전소,2.24532,경남,경남 남해군 남해읍
13426,JK태양광,0.99826,경남,경남 고성군 대가면
17644,도천솔라창녕태양광,0.793,경남,경남 창녕군 도첨면
1296,DSP4호 태양광발전소,0.81,경남,경남 합천군 가야면
55982,대곡태양광발전소,0.2976,경남,경남 하동군 옥종면
48689,티에스2호태양광발전소,1.21824,경남,경남 남해군 남면
62687,태민태양광발전소,0.09984,경남,경남 산청군 금서면
6990,의령 고니 태양광,0.98982,경남,경남 의령군 용덕면
12417,삼천포태양광#2,0.99,경남,경남 고성군 하이면
12498,하동보건소태양광,0.04,경남,경남 하동군 하동읍
66716,삼랑진양수 태양광 #2,0.53874,경남,경남 밀양시 삼랑진읍
56311,하이저수지수상태양광,2.51856,경남,경남 고성군 하이면
63637,LH본사신사옥태양광#1,1.04,경남,경남 진주시 충의로
48690,티에스태양광발전소,1.48392,경남,경남 남해군 남면
9630,그린태양광2호,0.1,경남,경남 하동군 고전면
50060,이글스에너지태양광#1,2.249,경남,경남 창원시 성산구
59442,창선태양광,0.49932,경남,경남 남해군 창선면
2267,정진1호 태양광,0.4896,경남,경남 남해군 고현면
61920,GMK창원공장3호태양광,5.002,경남,경남 창원시 성산구
65307,하동미래태양광,0.1,경남,경남 하동군 고전면
56167,신화태양광 발전기,0.99792,경남,경남 거창군 고제면
26964,비토태양광,0.09856,경남,경남 사천시 서포면
34344,송원발전,0.49896,경남,경남 하동군 진교면
19537,드림라인쏠라파워5호 태양광,1.60083,경남,경남 의령군 용덕면
6019,거창온빛태양광,0.59787,경남,경남 거창군 거창읍
20523,거창미래태양광,0.494,경남,경남 거창군 위천면
56127,성광대독발전기,0.42458,경남,경남 고성군 고성읍
1948,진주햇빛 태양광,0.398,경남,경남 진주시
65305,하동광성에너지,0.99648,경남,경남 하동군 양보면
40885,함안태양광,0.936,경남,경남 함안군 법수면
12469,하동화력태양광5호기,0.99756,경남,경남 하동군 금남면
1637,창녕베스틸1기태양광,2.6,경남,경남 창녕군 대합면
38252,썬그린 태양광,0.4935,경남,경남 하동군 횡천면
40081,양지에너지태양광,0.498,경남,경남 하동군 고전면
37044,신세계1호태양광PV,0.099,경남,경남 합천군 야로면
26215,덕산태양광,0.771,경남,경남 김해시 대동면
4603,현창이엔지 태양광발전기,0.2992,경남,경남 김해시 한림면
65888,두량저수지태양광,2.99691,경남,경남 사천시 사천읍
11722,삼계정수장 침전지 태양광발전소,0.75555,경남,경남 김해시 생림대로
48727,천지에너지태양광,0.9984,경남,경남 하동군 북천면
71051,호포차량기지태양광,1.452,경남,경남 양산시 동면
57972,지우태양광발전소,0.9996,경남,경남 산청군 산청읍
18505,동양4공장태양광,0.986,경남,경남 창원시 성산구
46123,우리에너지 태양광,0.44625,경남,경남 하동군 횡천면
12409,삼천포태양광#4,1.85,경남,경남 고성군 하이면
35121,합천댐수상태양광,0.099,경남,경남 합천군
20578,마이솔에너지,0.49896,경남,경남 하동군 진교면
35113,고성조절지태양광,0.31248,경남,경남 고성군 상리면
34246,송산고성태양광,0.246,경남,경남 고성군 거류면
1824,양산솔라태양광,2.967,경남,경남 양산시 물금읍
12412,두산엔진 MG태양광,0.07722,경남,경남 창원시 성산구
56308,덕월태양광,1.29744,경남,경남 남해군 남면
35107,합천수상태양광#2,0.497,경남,경남 합천군 용주면
20072,레일에너지태양광6,0.7074,경남,경남 김해시 한림면
2258,제이에스파워1호태양광,0.1,경남,경남 밀양시 초동면
66398,한빛에스지태양광,2,경남,경남 거창군 웅양면
66718,삼랑진양수 태양광 #1,2.2338,경남,경남 밀양시 삼랑진읍
54040,정우태양광a,0.72624,경남,경남 고성군 마암면
16126,대일화학,1.49544,경남,경남 김해시 진례면
7179,고암창녕태양광,1.498,경남,경남 창녕군 고암면
59823,천광태양광,0.498225,경남,경남 하동군 북천면
12408,삼천포태양광#3,0.35,경남,경남 고성군 하이면
37046,신세계2호태양광PV,0.2976,경남,경남 합천군 야로면
58879,진원산업개발태양광,0.208,경남,경남 창원시 진해구
1649,창원특수강1기태양광,1.79388,경남,경남 창원시 성산구
