,date,hour,48683,4711,65561,56280,42342,18272,2065
248,20191211.0,9.0,0.2472,0.117,0.01728,0.05472,0.096,0.03492,0.064512
249,20191211.0,10.0,0.8616,0.306,0.09936,0.31824,0.2448,0.07092,0.255528
250,20191211.0,11.0,1.6104,0.846,0.17784,0.49392,0.48192,0.1512,0.465624
251,20191211.0,12.0,1.8912,0.9558,0.19944,0.52992,0.6249600000000001,0.23112,0.545112
252,20191211.0,13.0,1.8432,1.0206,0.21852,0.56304,0.62592,0.23904,0.5495760000000001
253,20191211.0,14.0,1.7448,0.9594,0.20664,0.5328,0.61632,0.22392,0.509112
254,20191211.0,15.0,1.3272,0.7434,0.162,0.38448,0.49248,0.1674,0.380808
255,20191211.0,16.0,0.5448,0.369,0.08136,0.15912,0.19296,0.07128,0.148032
256,20191211.0,17.0,0.1128,0.045,0.01188,0.01944,0.04224,0.01764,0.025344
257,20191211.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,20191211.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,20191211.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,20191211.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,20191211.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,20191211.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,20191211.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,20191212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,20191212.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,20191212.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,20191212.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,20191212.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,20191212.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,20191212.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,20191212.0,8.0,0.0408,0.009,0.00036,0.00504,0.0144,0.0036,0.004032
272,20191212.0,9.0,0.3984,0.2448,0.04716,0.0576,0.18144,0.03708,0.045576
